name,url,year,prize,desc
Wangari Maathai,https://www.nobelprize.org/prizes/peace/2004/maathai/facts/,2004,The Nobel Peace Prize,"“for her contribution to sustainable development, democracy and peace”"
Finn E. Kydland,https://www.nobelprize.org/prizes/economic-sciences/2004/kydland/facts/,2004,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles”
Edward C. Prescott,https://www.nobelprize.org/prizes/economic-sciences/2004/prescott/facts/,2004,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles”
Alexei Abrikosov,https://www.nobelprize.org/prizes/physics/2003/abrikosov/facts/,2003,The Nobel Prize in Physics,“for pioneering contributions to the theory of superconductors and superfluids”
Vitaly L. Ginzburg,https://www.nobelprize.org/prizes/physics/2003/ginzburg/facts/,2003,The Nobel Prize in Physics,“for pioneering contributions to the theory of superconductors and superfluids”
Anthony J. Leggett,https://www.nobelprize.org/prizes/physics/2003/leggett/facts/,2003,The Nobel Prize in Physics,“for pioneering contributions to the theory of superconductors and superfluids”
Peter Agre,https://www.nobelprize.org/prizes/chemistry/2003/agre/facts/,2003,The Nobel Prize in Chemistry,“for discoveries concerning channels in cell membranes”
Roderick MacKinnon,https://www.nobelprize.org/prizes/chemistry/2003/mackinnon/facts/,2003,The Nobel Prize in Chemistry,“for discoveries concerning channels in cell membranes”
Paul C. Lauterbur,https://www.nobelprize.org/prizes/medicine/2003/lauterbur/facts/,2003,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning magnetic resonance imaging”
Sir Peter Mansfield,https://www.nobelprize.org/prizes/medicine/2003/mansfield/facts/,2003,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning magnetic resonance imaging”
J. M. Coetzee,https://www.nobelprize.org/prizes/literature/2003/coetzee/facts/,2003,The Nobel Prize in Literature,“who in innumerable guises portrays the surprising involvement of the outsider”
Shirin Ebadi,https://www.nobelprize.org/prizes/peace/2003/ebadi/facts/,2003,The Nobel Peace Prize,“for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children”
Robert F. Engle III,https://www.nobelprize.org/prizes/economic-sciences/2003/engle/facts/,2003,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for methods of analyzing economic time series with time-varying volatility (ARCH)”
Clive W.J. Granger,https://www.nobelprize.org/prizes/economic-sciences/2003/granger/facts/,2003,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for methods of analyzing economic time series with time-varying volatility (ARCH)”
Raymond Davis Jr.,https://www.nobelprize.org/prizes/physics/2002/davis/facts/,2002,The Nobel Prize in Physics,"“for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos”"
Masatoshi Koshiba,https://www.nobelprize.org/prizes/physics/2002/koshiba/facts/,2002,The Nobel Prize in Physics,"“for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos”"
Riccardo Giacconi,https://www.nobelprize.org/prizes/physics/2002/giacconi/facts/,2002,The Nobel Prize in Physics,"“for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos”"
John B. Fenn,https://www.nobelprize.org/prizes/chemistry/2002/fenn/facts/,2002,The Nobel Prize in Chemistry,“for the development of methods for identification and structure analyses of biological macromolecules”
Koichi Tanaka,https://www.nobelprize.org/prizes/chemistry/2002/tanaka/facts/,2002,The Nobel Prize in Chemistry,“for the development of methods for identification and structure analyses of biological macromolecules”
Kurt Wüthrich,https://www.nobelprize.org/prizes/chemistry/2002/wuthrich/facts/,2002,The Nobel Prize in Chemistry,“for the development of methods for identification and structure analyses of biological macromolecules”
Sydney Brenner,https://www.nobelprize.org/prizes/medicine/2002/brenner/facts/,2002,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning genetic regulation of organ development and programmed cell death'”
H. Robert Horvitz,https://www.nobelprize.org/prizes/medicine/2002/horvitz/facts/,2002,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning genetic regulation of organ development and programmed cell death'”
John E. Sulston,https://www.nobelprize.org/prizes/medicine/2002/sulston/facts/,2002,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning genetic regulation of organ development and programmed cell death'”
Imre Kertész,https://www.nobelprize.org/prizes/literature/2002/kertesz/facts/,2002,The Nobel Prize in Literature,“for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history”
Jimmy Carter,https://www.nobelprize.org/prizes/peace/2002/carter/facts/,2002,The Nobel Peace Prize,"“for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development”"
Daniel Kahneman,https://www.nobelprize.org/prizes/economic-sciences/2002/kahneman/facts/,2002,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty”"
Vernon L. Smith,https://www.nobelprize.org/prizes/economic-sciences/2002/smith/facts/,2002,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty”"
Eric Cornell,https://www.nobelprize.org/prizes/physics/2001/cornell/facts/,2001,The Nobel Prize in Physics,"“for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates”"
Wolfgang Ketterle,https://www.nobelprize.org/prizes/physics/2001/ketterle/facts/,2001,The Nobel Prize in Physics,"“for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates”"
Carl Wieman,https://www.nobelprize.org/prizes/physics/2001/wieman/facts/,2001,The Nobel Prize in Physics,"“for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates”"
William Knowles,https://www.nobelprize.org/prizes/chemistry/2001/knowles/facts/,2001,The Nobel Prize in Chemistry,“for their work on chirally catalysed hydrogenation reactions”
Ryoji Noyori,https://www.nobelprize.org/prizes/chemistry/2001/noyori/facts/,2001,The Nobel Prize in Chemistry,“for their work on chirally catalysed hydrogenation reactions”
K. Barry Sharpless,https://www.nobelprize.org/prizes/chemistry/2001/sharpless/facts/,2001,The Nobel Prize in Chemistry,“for their work on chirally catalysed hydrogenation reactions”
Leland Hartwell,https://www.nobelprize.org/prizes/medicine/2001/hartwell/facts/,2001,The Nobel Prize in Physiology or Medicine,“for their discoveries of key regulators of the cell cycle”
Tim Hunt,https://www.nobelprize.org/prizes/medicine/2001/hunt/facts/,2001,The Nobel Prize in Physiology or Medicine,“for their discoveries of key regulators of the cell cycle”
Sir Paul Nurse,https://www.nobelprize.org/prizes/medicine/2001/nurse/facts/,2001,The Nobel Prize in Physiology or Medicine,“for their discoveries of key regulators of the cell cycle”
V. S. Naipaul,https://www.nobelprize.org/prizes/literature/2001/naipaul/facts/,2001,The Nobel Prize in Literature,“for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories”
United Nations,https://www.nobelprize.org/prizes/peace/2001/un/facts/,2001,The Nobel Peace Prize,“for their work for a better organized and more peaceful world”
Kofi Annan,https://www.nobelprize.org/prizes/peace/2001/annan/facts/,2001,The Nobel Peace Prize,“for their work for a better organized and more peaceful world”
George A. Akerlof,https://www.nobelprize.org/prizes/economic-sciences/2001/akerlof/facts/,2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their analyses of markets with asymmetric information”
A. Michael Spence,https://www.nobelprize.org/prizes/economic-sciences/2001/spence/facts/,2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their analyses of markets with asymmetric information”
Joseph E. Stiglitz,https://www.nobelprize.org/prizes/economic-sciences/2001/stiglitz/facts/,2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their analyses of markets with asymmetric information”
Zhores Alferov,https://www.nobelprize.org/prizes/physics/2000/alferov/facts/,2000,The Nobel Prize in Physics,“for basic work on information and communication technology”
Herbert Kroemer,https://www.nobelprize.org/prizes/physics/2000/kroemer/facts/,2000,The Nobel Prize in Physics,“for basic work on information and communication technology”
Jack Kilby,https://www.nobelprize.org/prizes/physics/2000/kilby/facts/,2000,The Nobel Prize in Physics,“for basic work on information and communication technology”
Alan Heeger,https://www.nobelprize.org/prizes/chemistry/2000/heeger/facts/,2000,The Nobel Prize in Chemistry,“for the discovery and development of conductive polymers”
Alan MacDiarmid,https://www.nobelprize.org/prizes/chemistry/2000/macdiarmid/facts/,2000,The Nobel Prize in Chemistry,“for the discovery and development of conductive polymers”
Hideki Shirakawa,https://www.nobelprize.org/prizes/chemistry/2000/shirakawa/facts/,2000,The Nobel Prize in Chemistry,“for the discovery and development of conductive polymers”
Arvid Carlsson,https://www.nobelprize.org/prizes/medicine/2000/carlsson/facts/,2000,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning signal transduction in the nervous system”
Paul Greengard,https://www.nobelprize.org/prizes/medicine/2000/greengard/facts/,2000,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning signal transduction in the nervous system”
Eric Kandel,https://www.nobelprize.org/prizes/medicine/2000/kandel/facts/,2000,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning signal transduction in the nervous system”
Gao Xingjian,https://www.nobelprize.org/prizes/literature/2000/gao/facts/,2000,The Nobel Prize in Literature,"“for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama”"
Kim Dae-jung,https://www.nobelprize.org/prizes/peace/2000/dae-jung/facts/,2000,The Nobel Peace Prize,"“for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular”"
James J. Heckman,https://www.nobelprize.org/prizes/economic-sciences/2000/heckman/facts/,2000,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his development of theory and methods for analyzing selective samples”
Daniel L. McFadden,https://www.nobelprize.org/prizes/economic-sciences/2000/mcfadden/facts/,2000,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his development of theory and methods for analyzing selective samples”
Gerardus 't Hooft,https://www.nobelprize.org/prizes/physics/1999/thooft/facts/,1999,The Nobel Prize in Physics,“for elucidating the quantum structure of electroweak interactions in physics”
Martinus J.G. Veltman,https://www.nobelprize.org/prizes/physics/1999/veltman/facts/,1999,The Nobel Prize in Physics,“for elucidating the quantum structure of electroweak interactions in physics”
Ahmed Zewail,https://www.nobelprize.org/prizes/chemistry/1999/zewail/facts/,1999,The Nobel Prize in Chemistry,“for his studies of the transition states of chemical reactions using femtosecond spectroscopy”
Günter Blobel,https://www.nobelprize.org/prizes/medicine/1999/blobel/facts/,1999,The Nobel Prize in Physiology or Medicine,“for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell”
Günter Grass,https://www.nobelprize.org/prizes/literature/1999/grass/facts/,1999,The Nobel Prize in Literature,“whose frolicsome black fables portray the forgotten face of history”
Doctors Without Borders,https://www.nobelprize.org/prizes/peace/1999/msf/facts/,1999,The Nobel Peace Prize,“in recognition of the organisation's pioneering humanitarian work on several continents”
Robert Mundell,https://www.nobelprize.org/prizes/economic-sciences/1999/mundell/facts/,1999,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas”
Robert B. Laughlin,https://www.nobelprize.org/prizes/physics/1998/laughlin/facts/,1998,The Nobel Prize in Physics,“for their discovery of a new form of quantum fluid with fractionally charged excitations”
Horst L. Störmer,https://www.nobelprize.org/prizes/physics/1998/stormer/facts/,1998,The Nobel Prize in Physics,“for their discovery of a new form of quantum fluid with fractionally charged excitations”
Daniel C. Tsui,https://www.nobelprize.org/prizes/physics/1998/tsui/facts/,1998,The Nobel Prize in Physics,“for their discovery of a new form of quantum fluid with fractionally charged excitations”
Walter Kohn,https://www.nobelprize.org/prizes/chemistry/1998/kohn/facts/,1998,The Nobel Prize in Chemistry,“for his development of the density-functional theory”
John Pople,https://www.nobelprize.org/prizes/chemistry/1998/pople/facts/,1998,The Nobel Prize in Chemistry,“for his development of the density-functional theory”
Robert F. Furchgott,https://www.nobelprize.org/prizes/medicine/1998/furchgott/facts/,1998,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system”
Louis J. Ignarro,https://www.nobelprize.org/prizes/medicine/1998/ignarro/facts/,1998,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system”
Ferid Murad,https://www.nobelprize.org/prizes/medicine/1998/murad/facts/,1998,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system”
José Saramago,https://www.nobelprize.org/prizes/literature/1998/saramago/facts/,1998,The Nobel Prize in Literature,"“who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality”"
John Hume,https://www.nobelprize.org/prizes/peace/1998/hume/facts/,1998,The Nobel Peace Prize,“for their efforts to find a peaceful solution to the conflict in Northern Ireland”
David Trimble,https://www.nobelprize.org/prizes/peace/1998/trimble/facts/,1998,The Nobel Peace Prize,“for their efforts to find a peaceful solution to the conflict in Northern Ireland”
Amartya Sen,https://www.nobelprize.org/prizes/economic-sciences/1998/sen/facts/,1998,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his contributions to welfare economics”
Steven Chu,https://www.nobelprize.org/prizes/physics/1997/chu/facts/,1997,The Nobel Prize in Physics,“for development of methods to cool and trap atoms with laser light”
Claude Cohen-Tannoudji,https://www.nobelprize.org/prizes/physics/1997/cohen-tannoudji/facts/,1997,The Nobel Prize in Physics,“for development of methods to cool and trap atoms with laser light”
William D. Phillips,https://www.nobelprize.org/prizes/physics/1997/phillips/facts/,1997,The Nobel Prize in Physics,“for development of methods to cool and trap atoms with laser light”
Paul D. Boyer,https://www.nobelprize.org/prizes/chemistry/1997/boyer/facts/,1997,The Nobel Prize in Chemistry,“for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)”
John E. Walker,https://www.nobelprize.org/prizes/chemistry/1997/walker/facts/,1997,The Nobel Prize in Chemistry,“for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)”
Jens C. Skou,https://www.nobelprize.org/prizes/chemistry/1997/skou/facts/,1997,The Nobel Prize in Chemistry,“for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)”
Stanley B. Prusiner,https://www.nobelprize.org/prizes/medicine/1997/prusiner/facts/,1997,The Nobel Prize in Physiology or Medicine,“for his discovery of Prions - a new biological principle of infection”
Dario Fo,https://www.nobelprize.org/prizes/literature/1997/fo/facts/,1997,The Nobel Prize in Literature,“who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden”
International Campaign to Ban Landmines,https://www.nobelprize.org/prizes/peace/1997/icbl/facts/,1997,The Nobel Peace Prize,“for their work for the banning and clearing of anti-personnel mines”
Jody Williams,https://www.nobelprize.org/prizes/peace/1997/williams/facts/,1997,The Nobel Peace Prize,“for their work for the banning and clearing of anti-personnel mines”
Robert C. Merton,https://www.nobelprize.org/prizes/economic-sciences/1997/merton/facts/,1997,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for a new method to determine the value of derivatives”
Myron Scholes,https://www.nobelprize.org/prizes/economic-sciences/1997/scholes/facts/,1997,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for a new method to determine the value of derivatives”
David M. Lee,https://www.nobelprize.org/prizes/physics/1996/lee/facts/,1996,The Nobel Prize in Physics,“for their discovery of superfluidity in helium-3”
Douglas D. Osheroff,https://www.nobelprize.org/prizes/physics/1996/osheroff/facts/,1996,The Nobel Prize in Physics,“for their discovery of superfluidity in helium-3”
Robert C. Richardson,https://www.nobelprize.org/prizes/physics/1996/richardson/facts/,1996,The Nobel Prize in Physics,“for their discovery of superfluidity in helium-3”
Robert F. Curl Jr.,https://www.nobelprize.org/prizes/chemistry/1996/curl/facts/,1996,The Nobel Prize in Chemistry,“for their discovery of fullerenes”
Sir Harold Kroto,https://www.nobelprize.org/prizes/chemistry/1996/kroto/facts/,1996,The Nobel Prize in Chemistry,“for their discovery of fullerenes”
Richard E. Smalley,https://www.nobelprize.org/prizes/chemistry/1996/smalley/facts/,1996,The Nobel Prize in Chemistry,“for their discovery of fullerenes”
Peter C. Doherty,https://www.nobelprize.org/prizes/medicine/1996/doherty/facts/,1996,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the specificity of the cell mediated immune defence”
Rolf M. Zinkernagel,https://www.nobelprize.org/prizes/medicine/1996/zinkernagel/facts/,1996,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the specificity of the cell mediated immune defence”
Wisława Szymborska,https://www.nobelprize.org/prizes/literature/1996/szymborska/facts/,1996,The Nobel Prize in Literature,“for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality”
Carlos Filipe Ximenes Belo,https://www.nobelprize.org/prizes/peace/1996/belo/facts/,1996,The Nobel Peace Prize,“for their work towards a just and peaceful solution to the conflict in East Timor”
José Ramos-Horta,https://www.nobelprize.org/prizes/peace/1996/ramos-horta/facts/,1996,The Nobel Peace Prize,“for their work towards a just and peaceful solution to the conflict in East Timor”
James A. Mirrlees,https://www.nobelprize.org/prizes/economic-sciences/1996/mirrlees/facts/,1996,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their fundamental contributions to the economic theory of incentives under asymmetric information”
William Vickrey,https://www.nobelprize.org/prizes/economic-sciences/1996/vickrey/facts/,1996,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their fundamental contributions to the economic theory of incentives under asymmetric information”
Martin L. Perl,https://www.nobelprize.org/prizes/physics/1995/perl/facts/,1995,The Nobel Prize in Physics,“for pioneering experimental contributions to lepton physics”
Frederick Reines,https://www.nobelprize.org/prizes/physics/1995/reines/facts/,1995,The Nobel Prize in Physics,“for pioneering experimental contributions to lepton physics”
Paul J. Crutzen,https://www.nobelprize.org/prizes/chemistry/1995/crutzen/facts/,1995,The Nobel Prize in Chemistry,"“for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone”"
Mario J. Molina,https://www.nobelprize.org/prizes/chemistry/1995/molina/facts/,1995,The Nobel Prize in Chemistry,"“for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone”"
F. Sherwood Rowland,https://www.nobelprize.org/prizes/chemistry/1995/rowland/facts/,1995,The Nobel Prize in Chemistry,"“for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone”"
Edward B. Lewis,https://www.nobelprize.org/prizes/medicine/1995/lewis/facts/,1995,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the genetic control of early embryonic development”
Christiane Nüsslein-Volhard,https://www.nobelprize.org/prizes/medicine/1995/nusslein-volhard/facts/,1995,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the genetic control of early embryonic development”
Eric F. Wieschaus,https://www.nobelprize.org/prizes/medicine/1995/wieschaus/facts/,1995,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the genetic control of early embryonic development”
Seamus Heaney,https://www.nobelprize.org/prizes/literature/1995/heaney/facts/,1995,The Nobel Prize in Literature,"“for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past”"
Joseph Rotblat,https://www.nobelprize.org/prizes/peace/1995/rotblat/facts/,1995,The Nobel Peace Prize,"“for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms”"
Pugwash Conferences on Science and World Affairs,https://www.nobelprize.org/prizes/peace/1995/pugwash/facts/,1995,The Nobel Peace Prize,"“for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms”"
Robert E. Lucas Jr.,https://www.nobelprize.org/prizes/economic-sciences/1995/lucas/facts/,1995,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy”"
Bertram N. Brockhouse,https://www.nobelprize.org/prizes/physics/1994/brockhouse/facts/,1994,The Nobel Prize in Physics,“for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter”
Clifford G. Shull,https://www.nobelprize.org/prizes/physics/1994/shull/facts/,1994,The Nobel Prize in Physics,“for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter”
George A. Olah,https://www.nobelprize.org/prizes/chemistry/1994/olah/facts/,1994,The Nobel Prize in Chemistry,“for his contribution to carbocation chemistry”
Alfred G. Gilman,https://www.nobelprize.org/prizes/medicine/1994/gilman/facts/,1994,The Nobel Prize in Physiology or Medicine,“for their discovery of G-proteins and the role of these proteins in signal transduction in cells”
Martin Rodbell,https://www.nobelprize.org/prizes/medicine/1994/rodbell/facts/,1994,The Nobel Prize in Physiology or Medicine,“for their discovery of G-proteins and the role of these proteins in signal transduction in cells”
Kenzaburo Oe,https://www.nobelprize.org/prizes/literature/1994/oe/facts/,1994,The Nobel Prize in Literature,"“who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today”"
Yasser Arafat,https://www.nobelprize.org/prizes/peace/1994/arafat/facts/,1994,The Nobel Peace Prize,“for their efforts to create peace in the Middle East”
Shimon Peres,https://www.nobelprize.org/prizes/peace/1994/peres/facts/,1994,The Nobel Peace Prize,“for their efforts to create peace in the Middle East”
Yitzhak Rabin,https://www.nobelprize.org/prizes/peace/1994/rabin/facts/,1994,The Nobel Peace Prize,“for their efforts to create peace in the Middle East”
John C. Harsanyi,https://www.nobelprize.org/prizes/economic-sciences/1994/harsanyi/facts/,1994,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their pioneering analysis of equilibria in the theory of non-cooperative games”
John F. Nash Jr.,https://www.nobelprize.org/prizes/economic-sciences/1994/nash/facts/,1994,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their pioneering analysis of equilibria in the theory of non-cooperative games”
Reinhard Selten,https://www.nobelprize.org/prizes/economic-sciences/1994/selten/facts/,1994,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their pioneering analysis of equilibria in the theory of non-cooperative games”
Russell A. Hulse,https://www.nobelprize.org/prizes/physics/1993/hulse/facts/,1993,The Nobel Prize in Physics,"“for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation”"
Joseph H. Taylor Jr.,https://www.nobelprize.org/prizes/physics/1993/taylor/facts/,1993,The Nobel Prize in Physics,"“for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation”"
Kary B. Mullis,https://www.nobelprize.org/prizes/chemistry/1993/mullis/facts/,1993,The Nobel Prize in Chemistry,“for contributions to the developments of methods within DNA-based chemistry”
Michael Smith,https://www.nobelprize.org/prizes/chemistry/1993/smith/facts/,1993,The Nobel Prize in Chemistry,“for contributions to the developments of methods within DNA-based chemistry”
Richard J. Roberts,https://www.nobelprize.org/prizes/medicine/1993/roberts/facts/,1993,The Nobel Prize in Physiology or Medicine,“for their discoveries of split genes”
Phillip A. Sharp,https://www.nobelprize.org/prizes/medicine/1993/sharp/facts/,1993,The Nobel Prize in Physiology or Medicine,“for their discoveries of split genes”
Toni Morrison,https://www.nobelprize.org/prizes/literature/1993/morrison/facts/,1993,The Nobel Prize in Literature,"“who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality”"
Nelson Mandela,https://www.nobelprize.org/prizes/peace/1993/mandela/facts/,1993,The Nobel Peace Prize,"“for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa”"
F.W. de Klerk,https://www.nobelprize.org/prizes/peace/1993/klerk/facts/,1993,The Nobel Peace Prize,"“for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa”"
Robert W. Fogel,https://www.nobelprize.org/prizes/economic-sciences/1993/fogel/facts/,1993,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change”
Douglass C. North,https://www.nobelprize.org/prizes/economic-sciences/1993/north/facts/,1993,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change”
Georges Charpak,https://www.nobelprize.org/prizes/physics/1992/charpak/facts/,1992,The Nobel Prize in Physics,"“for his invention and development of particle detectors, in particular the multiwire proportional chamber”"
Rudolph A. Marcus,https://www.nobelprize.org/prizes/chemistry/1992/marcus/facts/,1992,The Nobel Prize in Chemistry,“for his contributions to the theory of electron transfer reactions in chemical systems”
Edmond H. Fischer,https://www.nobelprize.org/prizes/medicine/1992/fischer/facts/,1992,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism”
Edwin G. Krebs,https://www.nobelprize.org/prizes/medicine/1992/krebs/facts/,1992,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism”
Derek Walcott,https://www.nobelprize.org/prizes/literature/1992/walcott/facts/,1992,The Nobel Prize in Literature,"“for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment”"
Rigoberta Menchú Tum,https://www.nobelprize.org/prizes/peace/1992/tum/facts/,1992,The Nobel Peace Prize,“for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples”
Gary Becker,https://www.nobelprize.org/prizes/economic-sciences/1992/becker/facts/,1992,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour”"
Pierre-Gilles de Gennes,https://www.nobelprize.org/prizes/physics/1991/gennes/facts/,1991,The Nobel Prize in Physics,"“for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers”"
Richard R. Ernst,https://www.nobelprize.org/prizes/chemistry/1991/ernst/facts/,1991,The Nobel Prize in Chemistry,“for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy”
Erwin Neher,https://www.nobelprize.org/prizes/medicine/1991/neher/facts/,1991,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the function of single ion channels in cells”
Bert Sakmann,https://www.nobelprize.org/prizes/medicine/1991/sakmann/facts/,1991,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the function of single ion channels in cells”
Nadine Gordimer,https://www.nobelprize.org/prizes/literature/1991/gordimer/facts/,1991,The Nobel Prize in Literature,“who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity”
Aung San Suu Kyi,https://www.nobelprize.org/prizes/peace/1991/kyi/facts/,1991,The Nobel Peace Prize,“for her non-violent struggle for democracy and human rights”
Ronald H. Coase,https://www.nobelprize.org/prizes/economic-sciences/1991/coase/facts/,1991,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy”
Jerome I. Friedman,https://www.nobelprize.org/prizes/physics/1990/friedman/facts/,1990,The Nobel Prize in Physics,"“for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics”"
Henry W. Kendall,https://www.nobelprize.org/prizes/physics/1990/kendall/facts/,1990,The Nobel Prize in Physics,"“for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics”"
Richard E. Taylor,https://www.nobelprize.org/prizes/physics/1990/taylor/facts/,1990,The Nobel Prize in Physics,"“for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics”"
